adv_id,adv_name,level,weapon,creature_id,creature_name,creature_level,player_hit_pct,player_dmg_per_hit,player_dps,ttk_player_turns,creature_hit_pct,creature_dmg_per_hit,creature_dps,ttk_creature_turns,ttk_ratio,predicted_winner,mc_player_winrate,mc_mean_ttk_turns
generalist,Generalist,5,bronze_sword,wild_boar,Wild Boar,4,80.0,7.97,6.38,9.7,50.0,4.25,2.12,75.8,0.13,player,,
generalist,Generalist,5,bronze_sword,orc_brute,Orc Brute,5,85.0,6.94,5.9,12.4,55.0,5.27,2.9,55.5,0.22,player,1.0,13.0
generalist,Generalist,5,bronze_sword,fire_elemental,Fire Elemental,6,70.0,7.04,4.92,17.7,55.0,6.91,3.8,42.4,0.42,player,,
generalist,Generalist,5,bronze_sword,dire_wolf,Dire Wolf,7,55.0,8.18,4.5,21.6,60.0,7.92,4.75,33.9,0.64,player,,
generalist,Generalist,5,bronze_sword,cyclops,Cyclops,8,80.0,7.97,6.38,23.7,90.0,8.67,7.8,20.6,1.15,creature,,
generalist,Generalist,5,bronze_sword,ogre,Ogre,9,75.0,6.0,4.5,36.9,80.0,10.88,8.7,18.5,1.99,creature,,
generalist,Generalist,5,bronze_sword,ogre_brute,Ogre Brute,10,70.0,6.04,4.22,42.8,95.0,11.79,11.2,14.4,2.98,creature,,
generalist,Generalist,5,bronze_sword,stone_golem,Stone Golem,10,75.0,5.0,3.75,48.5,85.0,11.88,10.1,15.9,3.04,creature,,
generalist,Generalist,5,bronze_sword,dire_wight,Dire Wight,12,40.0,5.44,2.18,69.0,85.0,15.06,12.8,12.6,5.48,creature,,
generalist,Generalist,5,bronze_sword,wraith,Wraith,12,35.0,6.57,2.3,65.2,80.0,15.12,12.1,13.3,4.9,creature,,
generalist,Generalist,5,bronze_sword,troll,Troll,14,50.0,5.25,2.62,92.2,95.0,17.58,16.7,9.6,9.56,creature,,
generalist,Generalist,5,bronze_sword,young_dragon,Young Dragon,16,30.0,3.75,1.12,241.8,95.0,19.68,18.7,8.6,28.08,creature,,
generalist,Generalist,5,bronze_sword,demon,Demon,18,15.0,4.76,0.71,310.9,95.0,22.84,21.7,7.4,41.91,creature,,
generalist,Generalist,5,bronze_sword,ancient_dragon,Ancient Dragon,20,15.0,4.0,0.6,403.3,95.0,25.47,24.2,6.7,60.63,creature,,
generalist,Generalist,10,bronze_sword,rat,Giant Rat,1,95.0,14.21,13.5,1.5,5.0,1.0,0.05,3960.0,0.0,player,,
generalist,Generalist,10,bronze_sword,archer_goblin,Archer Goblin,2,95.0,14.21,13.5,2.5,20.0,1.0,0.2,990.0,0.0,player,,
generalist,Generalist,10,bronze_sword,goblin,Goblin,2,95.0,14.21,13.5,3.0,10.0,1.0,0.1,1980.0,0.0,player,,
generalist,Generalist,10,bronze_sword,goblin_mage,Goblin Mage,3,95.0,14.21,13.5,2.8,20.0,1.0,0.2,990.0,0.0,player,,
generalist,Generalist,10,bronze_sword,skeleton,Skeleton,3,95.0,12.95,12.3,4.2,10.0,2.75,0.28,720.0,0.01,player,,
generalist,Generalist,10,bronze_sword,wild_boar,Wild Boar,4,95.0,14.21,13.5,4.6,30.0,1.75,0.53,377.1,0.01,player,,
generalist,Generalist,10,bronze_sword,orc_brute,Orc Brute,5,95.0,13.21,12.55,5.8,35.0,2.71,0.95,208.4,0.03,player,,
generalist,Generalist,10,bronze_sword,fire_elemental,Fire Elemental,6,95.0,13.21,12.55,6.9,35.0,4.43,1.55,127.7,0.05,player,,
generalist,Generalist,10,bronze_sword,dire_wolf,Dire Wolf,7,90.0,14.25,12.83,7.6,40.0,5.38,2.15,92.1,0.08,player,,
generalist,Generalist,10,bronze_sword,cyclops,Cyclops,8,95.0,14.21,13.5,11.2,70.0,5.86,4.1,48.3,0.23,player,,
generalist,Generalist,10,bronze_sword,ogre,Ogre,9,95.0,12.21,11.6,14.3,60.0,8.17,4.9,40.4,0.35,player,,
generalist,Generalist,10,bronze_sword,ogre_brute,Ogre Brute,10,95.0,12.21,11.6,15.6,80.0,8.94,7.15,27.7,0.56,player,0.997,16.1
generalist,Generalist,10,bronze_sword,stone_golem,Stone Golem,10,95.0,11.21,10.65,17.1,65.0,9.15,5.95,33.3,0.51,player,,
generalist,Generalist,10,bronze_sword,dire_wight,Dire Wight,12,75.0,11.4,8.55,17.5,65.0,12.38,8.05,24.6,0.71,player,,
generalist,Generalist,10,bronze_sword,wraith,Wraith,12,70.0,12.46,8.72,17.2,60.0,12.5,7.5,26.4,0.65,player,,
generalist,Generalist,10,bronze_sword,troll,Troll,14,85.0,11.29,9.6,25.2,85.0,14.71,12.5,15.8,1.59,creature,,
generalist,Generalist,10,bronze_sword,young_dragon,Young Dragon,16,65.0,9.54,6.2,43.9,95.0,16.68,15.85,12.5,3.51,creature,,
generalist,Generalist,10,bronze_sword,demon,Demon,18,50.0,9.61,4.81,46.2,95.0,19.84,18.85,10.5,4.4,creature,,
generalist,Generalist,10,bronze_sword,ancient_dragon,Ancient Dragon,20,50.0,8.85,4.43,54.7,95.0,22.47,21.35,9.3,5.9,creature,,
generalist,Generalist,20,bronze_sword,rat,Giant Rat,1,95.0,20.53,19.5,1.0,5.0,1.0,0.05,5480.0,0.0,player,,
generalist,Generalist,20,bronze_sword,archer_goblin,Archer Goblin,2,95.0,20.53,19.5,1.7,5.0,2.0,0.1,2740.0,0.0,player,,
generalist,Generalist,20,bronze_sword,goblin,Goblin,2,95.0,20.53,19.5,2.1,5.0,2.0,0.1,2740.0,0.0,player,,
generalist,Generalist,20,bronze_sword,goblin_mage,Goblin Mage,3,95.0,20.53,19.5,1.9,5.0,1.0,0.05,5480.0,0.0,player,,
generalist,Generalist,20,bronze_sword,skeleton,Skeleton,3,95.0,19.27,18.3,2.8,5.0,6.0,0.3,913.3,0.0,player,,
generalist,Generalist,20,bronze_sword,wild_boar,Wild Boar,4,95.0,20.53,19.5,3.2,5.0,8.0,0.4,685.0,0.0,player,,
generalist,Generalist,20,bronze_sword,orc_brute,Orc Brute,5,95.0,19.53,18.55,3.9,5.0,10.0,0.5,548.0,0.01,player,,
generalist,Generalist,20,bronze_sword,fire_elemental,Fire Elemental,6,95.0,19.53,18.55,4.7,5.0,13.0,0.65,421.5,0.01,player,,
generalist,Generalist,20,bronze_sword,dire_wolf,Dire Wolf,7,95.0,20.53,19.5,5.0,5.0,15.0,0.75,365.3,0.01,player,,
generalist,Generalist,20,bronze_sword,cyclops,Cyclops,8,95.0,20.53,19.5,7.7,30.0,7.0,2.1,130.5,0.06,player,,
generalist,Generalist,20,bronze_sword,ogre,Ogre,9,95.0,18.53,17.6,9.4,20.0,10.5,2.1,130.5,0.07,player,,
generalist,Generalist,20,bronze_sword,ogre_brute,Ogre Brute,10,95.0,18.53,17.6,10.3,40.0,9.88,3.95,69.4,0.15,player,,
generalist,Generalist,20,bronze_sword,stone_golem,Stone Golem,10,95.0,17.53,16.65,10.9,25.0,11.0,2.75,99.6,0.11,player,,
generalist,Generalist,20,bronze_sword,dire_wight,Dire Wight,12,95.0,17.53,16.65,9.0,25.0,14.6,3.65,75.1,0.12,player,,
generalist,Generalist,20,bronze_sword,wraith,Wraith,12,95.0,18.53,17.6,8.5,20.0,15.5,3.1,88.4,0.1,player,,
generalist,Generalist,20,bronze_sword,troll,Troll,14,95.0,17.53,16.65,14.5,45.0,15.78,7.1,38.6,0.38,player,,
generalist,Generalist,20,bronze_sword,young_dragon,Young Dragon,16,95.0,15.53,14.75,18.4,60.0,17.38,10.42,26.3,0.7,player,,
generalist,Generalist,20,bronze_sword,demon,Demon,18,95.0,15.29,14.52,15.3,65.0,20.46,13.3,20.6,0.74,player,,
generalist,Generalist,20,bronze_sword,ancient_dragon,Ancient Dragon,20,95.0,14.53,13.8,17.5,75.0,22.87,17.15,16.0,1.1,creature,0.284,17.2
str_fighter,STR Fighter,1,bronze_sword,rat,Giant Rat,1,75.0,8.0,6.0,3.3,30.0,1.0,0.3,503.3,0.01,player,1.0,4.0
str_fighter,STR Fighter,1,bronze_sword,archer_goblin,Archer Goblin,2,70.0,8.04,5.62,6.0,55.0,1.0,0.55,274.5,0.02,player,,
str_fighter,STR Fighter,1,bronze_sword,goblin,Goblin,2,75.0,8.0,6.0,6.7,45.0,1.0,0.45,335.6,0.02,player,,
str_fighter,STR Fighter,1,bronze_sword,goblin_mage,Goblin Mage,3,70.0,8.04,5.62,6.8,55.0,1.0,0.55,274.5,0.02,player,,
str_fighter,STR Fighter,1,bronze_sword,skeleton,Skeleton,3,75.0,6.74,5.05,10.3,45.0,2.41,1.09,139.1,0.07,player,,
str_fighter,STR Fighter,1,bronze_sword,wild_boar,Wild Boar,4,65.0,8.08,5.25,11.8,65.0,3.27,2.12,71.1,0.17,player,,
str_fighter,STR Fighter,1,bronze_sword,orc_brute,Orc Brute,5,70.0,7.04,4.92,14.8,70.0,4.3,3.01,50.2,0.3,player,,
str_fighter,STR Fighter,1,bronze_sword,fire_elemental,Fire Elemental,6,55.0,7.18,3.95,22.0,70.0,5.9,4.13,36.5,0.6,player,,
str_fighter,STR Fighter,1,bronze_sword,dire_wolf,Dire Wolf,7,40.0,8.44,3.38,28.7,75.0,6.92,5.19,29.1,0.99,player,,
str_fighter,STR Fighter,1,bronze_sword,cyclops,Cyclops,8,65.0,8.08,5.25,28.8,95.0,7.82,7.43,20.3,1.42,creature,,
str_fighter,STR Fighter,1,bronze_sword,ogre,Ogre,9,60.0,6.12,3.67,45.2,95.0,9.93,9.43,16.0,2.82,creature,,
str_fighter,STR Fighter,1,bronze_sword,ogre_brute,Ogre Brute,10,55.0,6.18,3.4,53.2,95.0,10.98,10.43,14.5,3.68,creature,,
str_fighter,STR Fighter,1,bronze_sword,stone_golem,Stone Golem,10,60.0,5.12,3.07,59.2,95.0,10.98,10.43,14.5,4.09,creature,,
str_fighter,STR Fighter,1,bronze_sword,dire_wight,Dire Wight,12,25.0,6.0,1.5,100.0,95.0,14.14,13.43,11.2,8.89,creature,,
str_fighter,STR Fighter,1,bronze_sword,wraith,Wraith,12,20.0,7.38,1.48,101.7,95.0,14.14,13.43,11.2,9.05,creature,,
str_fighter,STR Fighter,1,bronze_sword,troll,Troll,14,35.0,5.57,1.95,124.1,95.0,16.77,15.93,9.5,13.09,creature,,
str_fighter,STR Fighter,1,bronze_sword,young_dragon,Young Dragon,16,15.0,5.0,0.75,362.7,95.0,18.87,17.93,8.4,43.06,creature,,
str_fighter,STR Fighter,1,bronze_sword,demon,Demon,18,5.0,9.76,0.49,454.9,95.0,22.03,20.93,7.2,63.06,creature,,
str_fighter,STR Fighter,1,bronze_sword,ancient_dragon,Ancient Dragon,20,5.0,9.0,0.45,537.8,95.0,24.66,23.43,6.4,83.45,creature,,
str_fighter,STR Fighter,5,bronze_sword,rat,Giant Rat,1,95.0,10.0,9.5,2.1,15.0,1.0,0.15,1233.3,0.0,player,,
str_fighter,STR Fighter,5,bronze_sword,archer_goblin,Archer Goblin,2,95.0,10.0,9.5,3.6,40.0,1.0,0.4,462.5,0.01,player,,
str_fighter,STR Fighter,5,bronze_sword,goblin,Goblin,2,95.0,10.0,9.5,4.2,30.0,1.0,0.3,616.7,0.01,player,,
str_fighter,STR Fighter,5,bronze_sword,goblin_mage,Goblin Mage,3,95.0,10.0,9.5,4.0,40.0,1.0,0.4,462.5,0.01,player,,
str_fighter,STR Fighter,5,bronze_sword,skeleton,Skeleton,3,95.0,8.74,8.3,6.3,30.0,2.77,0.83,222.4,0.03,player,,
str_fighter,STR Fighter,5,bronze_sword,wild_boar,Wild Boar,4,90.0,10.03,9.03,6.9,50.0,3.44,1.72,107.6,0.06,player,,
str_fighter,STR Fighter,5,bronze_sword,orc_brute,Orc Brute,5,95.0,9.0,8.55,8.5,55.0,4.46,2.45,75.4,0.11,player,1.0,9.1
str_fighter,STR Fighter,5,bronze_sword,fire_elemental,Fire Elemental,6,80.0,9.09,7.28,12.0,55.0,6.1,3.35,55.1,0.22,player,,
str_fighter,STR Fighter,5,bronze_sword,dire_wolf,Dire Wolf,7,65.0,10.23,6.65,14.6,60.0,7.11,4.26,43.4,0.34,player,,
str_fighter,STR Fighter,5,bronze_sword,cyclops,Cyclops,8,90.0,10.03,9.03,16.7,90.0,7.86,7.07,26.2,0.64,player,,
str_fighter,STR Fighter,5,bronze_sword,ogre,Ogre,9,85.0,8.06,6.85,24.2,80.0,10.06,8.05,23.0,1.05,creature,,
str_fighter,STR Fighter,5,bronze_sword,ogre_brute,Ogre Brute,10,80.0,8.09,6.48,28.0,95.0,10.98,10.43,17.7,1.58,creature,,
str_fighter,STR Fighter,5,bronze_sword,stone_golem,Stone Golem,10,85.0,7.06,6.0,30.3,85.0,11.07,9.41,19.7,1.54,creature,,
str_fighter,STR Fighter,5,bronze_sword,dire_wight,Dire Wight,12,50.0,7.45,3.73,40.3,85.0,14.25,12.11,15.3,2.64,creature,,
str_fighter,STR Fighter,5,bronze_sword,wraith,Wraith,12,45.0,8.56,3.85,39.0,80.0,14.32,11.45,16.2,2.41,creature,,
str_fighter,STR Fighter,5,bronze_sword,troll,Troll,14,60.0,7.29,4.37,55.3,95.0,16.77,15.93,11.6,4.76,creature,,
str_fighter,STR Fighter,5,bronze_sword,young_dragon,Young Dragon,16,40.0,5.69,2.27,119.6,95.0,18.87,17.93,10.3,11.59,creature,,
str_fighter,STR Fighter,5,bronze_sword,demon,Demon,18,25.0,6.16,1.54,144.2,95.0,22.03,20.93,8.8,16.31,creature,,
str_fighter,STR Fighter,5,bronze_sword,ancient_dragon,Ancient Dragon,20,25.0,5.4,1.35,179.3,95.0,24.66,23.43,7.9,22.7,creature,,
str_fighter,STR Fighter,10,bronze_sword,rat,Giant Rat,1,95.0,16.32,15.5,1.3,5.0,1.0,0.05,4540.0,0.0,player,,
str_fighter,STR Fighter,10,bronze_sword,archer_goblin,Archer Goblin,2,95.0,16.32,15.5,2.2,20.0,1.0,0.2,1135.0,0.0,player,,
str_fighter,STR Fighter,10,bronze_sword,goblin,Goblin,2,95.0,16.32,15.5,2.6,10.0,1.0,0.1,2270.0,0.0,player,,
str_fighter,STR Fighter,10,bronze_sword,goblin_mage,Goblin Mage,3,95.0,16.32,15.5,2.5,20.0,1.0,0.2,1135.0,0.0,player,,
str_fighter,STR Fighter,10,bronze_sword,skeleton,Skeleton,3,95.0,15.06,14.3,3.6,10.0,1.94,0.19,1170.1,0.0,player,,
str_fighter,STR Fighter,10,bronze_sword,wild_boar,Wild Boar,4,95.0,16.32,15.5,4.0,30.0,1.0,0.3,756.7,0.01,player,,
str_fighter,STR Fighter,10,bronze_sword,orc_brute,Orc Brute,5,95.0,15.32,14.55,5.0,35.0,1.9,0.67,340.6,0.01,player,,
str_fighter,STR Fighter,10,bronze_sword,fire_elemental,Fire Elemental,6,95.0,15.32,14.55,6.0,35.0,3.62,1.27,179.2,0.03,player,,
str_fighter,STR Fighter,10,bronze_sword,dire_wolf,Dire Wolf,7,95.0,16.32,15.5,6.3,40.0,4.56,1.83,124.3,0.05,player,,
str_fighter,STR Fighter,10,bronze_sword,cyclops,Cyclops,8,95.0,16.32,15.5,9.7,70.0,5.05,3.53,64.3,0.15,player,,
str_fighter,STR Fighter,10,bronze_sword,ogre,Ogre,9,95.0,14.32,13.6,12.2,60.0,7.36,4.41,51.4,0.24,player,,
str_fighter,STR Fighter,10,bronze_sword,ogre_brute,Ogre Brute,10,95.0,14.32,13.6,13.3,80.0,8.13,6.5,34.9,0.38,player,1.0,13.9
str_fighter,STR Fighter,10,bronze_sword,stone_golem,Stone Golem,10,95.0,13.32,12.65,14.4,65.0,8.34,5.42,41.9,0.34,player,,
str_fighter,STR Fighter,10,bronze_sword,dire_wight,Dire Wight,12,85.0,13.41,11.4,13.2,65.0,11.57,7.52,30.2,0.44,player,,
str_fighter,STR Fighter,10,bronze_sword,wraith,Wraith,12,80.0,14.47,11.58,13.0,60.0,11.69,7.01,32.4,0.4,player,,
str_fighter,STR Fighter,10,bronze_sword,troll,Troll,14,95.0,13.32,12.65,19.1,85.0,13.9,11.81,19.2,1.0,player,,
str_fighter,STR Fighter,10,bronze_sword,young_dragon,Young Dragon,16,75.0,11.53,8.65,31.4,95.0,15.87,15.08,15.1,2.09,creature,,
str_fighter,STR Fighter,10,bronze_sword,demon,Demon,18,60.0,11.55,6.93,32.0,95.0,19.03,18.08,12.6,2.55,creature,,
str_fighter,STR Fighter,10,bronze_sword,ancient_dragon,Ancient Dragon,20,60.0,10.79,6.47,37.4,95.0,21.66,20.58,11.0,3.39,creature,,
str_fighter,STR Fighter,20,bronze_sword,rat,Giant Rat,1,95.0,25.26,24.0,0.8,5.0,1.0,0.05,6260.0,0.0,player,,
str_fighter,STR Fighter,20,bronze_sword,archer_goblin,Archer Goblin,2,95.0,25.26,24.0,1.4,5.0,1.0,0.05,6260.0,0.0,player,,
str_fighter,STR Fighter,20,bronze_sword,goblin,Goblin,2,95.0,25.26,24.0,1.7,5.0,1.0,0.05,6260.0,0.0,player,,
str_fighter,STR Fighter,20,bronze_sword,goblin_mage,Goblin Mage,3,95.0,25.26,24.0,1.6,5.0,1.0,0.05,6260.0,0.0,player,,
str_fighter,STR Fighter,20,bronze_sword,skeleton,Skeleton,3,95.0,24.0,22.8,2.3,5.0,1.78,0.09,3516.9,0.0,player,,
str_fighter,STR Fighter,20,bronze_sword,wild_boar,Wild Boar,4,95.0,25.26,24.0,2.6,5.0,3.78,0.19,1656.1,0.0,player,,
str_fighter,STR Fighter,20,bronze_sword,orc_brute,Orc Brute,5,95.0,24.26,23.05,3.2,5.0,5.78,0.29,1083.0,0.0,player,,
str_fighter,STR Fighter,20,bronze_sword,fire_elemental,Fire Elemental,6,95.0,24.26,23.05,3.8,5.0,8.78,0.44,713.0,0.01,player,,
str_fighter,STR Fighter,20,bronze_sword,dire_wolf,Dire Wolf,7,95.0,25.26,24.0,4.0,5.0,10.78,0.54,580.7,0.01,player,,
str_fighter,STR Fighter,20,bronze_sword,cyclops,Cyclops,8,95.0,25.26,24.0,6.3,35.0,2.49,0.87,358.5,0.02,player,,
str_fighter,STR Fighter,20,bronze_sword,ogre,Ogre,9,95.0,23.26,22.1,7.5,25.0,5.58,1.4,224.4,0.03,player,,
str_fighter,STR Fighter,20,bronze_sword,ogre_brute,Ogre Brute,10,95.0,23.26,22.1,8.2,45.0,5.45,2.45,127.7,0.06,player,,
str_fighter,STR Fighter,20,bronze_sword,stone_golem,Stone Golem,10,95.0,22.26,21.15,8.6,30.0,6.28,1.88,166.1,0.05,player,,
str_fighter,STR Fighter,20,bronze_sword,dire_wight,Dire Wight,12,95.0,22.26,21.15,7.1,30.0,9.78,2.93,106.7,0.07,player,,
str_fighter,STR Fighter,20,bronze_sword,wraith,Wraith,12,95.0,23.26,22.1,6.8,25.0,10.38,2.59,120.6,0.06,player,,
str_fighter,STR Fighter,20,bronze_sword,troll,Troll,14,95.0,22.26,21.15,11.4,50.0,11.33,5.67,55.3,0.21,player,,
str_fighter,STR Fighter,20,bronze_sword,young_dragon,Young Dragon,16,95.0,20.26,19.25,14.1,65.0,13.01,8.46,37.0,0.38,player,,
str_fighter,STR Fighter,20,bronze_sword,demon,Demon,18,95.0,20.02,19.02,11.7,70.0,16.1,11.27,27.8,0.42,player,,
str_fighter,STR Fighter,20,bronze_sword,ancient_dragon,Ancient Dragon,20,95.0,19.26,18.3,13.2,80.0,18.53,14.82,21.1,0.63,player,0.989,13.7
tank,Tank Fighter,1,bronze_sword,rat,Giant Rat,1,65.0,5.92,3.85,5.2,30.0,1.0,0.3,556.7,0.01,player,1.0,6.1
tank,Tank Fighter,1,bronze_sword,archer_goblin,Archer Goblin,2,60.0,5.96,3.57,9.5,55.0,1.0,0.55,303.6,0.03,player,,
tank,Tank Fighter,1,bronze_sword,goblin,Goblin,2,65.0,5.92,3.85,10.4,45.0,1.0,0.45,371.1,0.03,player,,
tank,Tank Fighter,1,bronze_sword,goblin_mage,Goblin Mage,3,60.0,5.96,3.57,10.6,55.0,1.0,0.55,303.6,0.04,player,,
tank,Tank Fighter,1,bronze_sword,skeleton,Skeleton,3,65.0,4.66,3.03,17.2,45.0,2.41,1.09,153.8,0.11,player,,
tank,Tank Fighter,1,bronze_sword,wild_boar,Wild Boar,4,55.0,6.0,3.3,18.8,65.0,3.27,2.12,78.6,0.24,player,,
tank,Tank Fighter,1,bronze_sword,orc_brute,Orc Brute,5,60.0,4.96,2.97,24.5,70.0,4.3,3.01,55.5,0.44,player,,
tank,Tank Fighter,1,bronze_sword,fire_elemental,Fire Elemental,6,45.0,5.11,2.3,37.8,70.0,5.9,4.13,40.4,0.94,player,,
tank,Tank Fighter,1,bronze_sword,dire_wolf,Dire Wolf,7,30.0,6.42,1.93,50.4,75.0,6.92,5.19,32.2,1.57,creature,,
tank,Tank Fighter,1,bronze_sword,cyclops,Cyclops,8,55.0,6.0,3.3,45.8,95.0,7.82,7.43,22.5,2.04,creature,,
tank,Tank Fighter,1,bronze_sword,ogre,Ogre,9,50.0,4.05,2.03,82.0,95.0,9.93,9.43,17.7,4.63,creature,,
tank,Tank Fighter,1,bronze_sword,ogre_brute,Ogre Brute,10,45.0,4.11,1.85,97.8,95.0,10.98,10.43,16.0,6.11,creature,,
tank,Tank Fighter,1,bronze_sword,stone_golem,Stone Golem,10,50.0,3.05,1.53,119.3,95.0,10.98,10.43,16.0,7.45,creature,,
tank,Tank Fighter,1,bronze_sword,dire_wight,Dire Wight,12,15.0,4.33,0.65,230.8,95.0,14.14,13.43,12.4,18.56,creature,,
tank,Tank Fighter,1,bronze_sword,wraith,Wraith,12,10.0,6.25,0.62,240.0,95.0,14.14,13.43,12.4,19.3,creature,,
tank,Tank Fighter,1,bronze_sword,troll,Troll,14,25.0,3.6,0.9,268.9,95.0,16.77,15.93,10.5,25.65,creature,,
tank,Tank Fighter,1,bronze_sword,young_dragon,Young Dragon,16,5.0,6.0,0.3,906.7,95.0,18.87,17.93,9.3,97.35,creature,,
tank,Tank Fighter,1,bronze_sword,demon,Demon,18,5.0,5.76,0.29,770.8,95.0,22.03,20.93,8.0,96.61,creature,,
tank,Tank Fighter,1,bronze_sword,ancient_dragon,Ancient Dragon,20,5.0,5.0,0.25,968.0,95.0,24.66,23.43,7.1,135.81,creature,,
tank,Tank Fighter,5,bronze_sword,rat,Giant Rat,1,90.0,7.92,7.12,2.8,15.0,1.0,0.15,1420.0,0.0,player,,
tank,Tank Fighter,5,bronze_sword,archer_goblin,Archer Goblin,2,85.0,7.94,6.75,5.0,40.0,1.0,0.4,532.5,0.01,player,,
tank,Tank Fighter,5,bronze_sword,goblin,Goblin,2,90.0,7.92,7.12,5.6,30.0,1.0,0.3,710.0,0.01,player,,
tank,Tank Fighter,5,bronze_sword,goblin_mage,Goblin Mage,3,85.0,7.94,6.75,5.6,40.0,1.0,0.4,532.5,0.01,player,,
tank,Tank Fighter,5,bronze_sword,skeleton,Skeleton,3,90.0,6.66,5.99,8.7,30.0,2.77,0.83,256.0,0.03,player,,
tank,Tank Fighter,5,bronze_sword,wild_boar,Wild Boar,4,80.0,7.97,6.38,9.7,50.0,3.44,1.72,123.8,0.08,player,,
tank,Tank Fighter,5,bronze_sword,orc_brute,Orc Brute,5,85.0,6.94,5.9,12.4,55.0,4.46,2.45,86.8,0.14,player,1.0,13.0
tank,Tank Fighter,5,bronze_sword,fire_elemental,Fire Elemental,6,70.0,7.04,4.92,17.7,55.0,6.1,3.35,63.5,0.28,player,,
tank,Tank Fighter,5,bronze_sword,dire_wolf,Dire Wolf,7,55.0,8.18,4.5,21.6,60.0,7.11,4.26,50.0,0.43,player,,
tank,Tank Fighter,5,bronze_sword,cyclops,Cyclops,8,80.0,7.97,6.38,23.7,90.0,7.86,7.07,30.1,0.79,player,,
tank,Tank Fighter,5,bronze_sword,ogre,Ogre,9,75.0,6.0,4.5,36.9,80.0,10.06,8.05,26.5,1.39,creature,,
tank,Tank Fighter,5,bronze_sword,ogre_brute,Ogre Brute,10,70.0,6.04,4.22,42.8,95.0,10.98,10.43,20.4,2.1,creature,,
