id,name,class,level,STR,AGI,CON,WIL,CHA,FOC,max_hp,max_mana,hp_per_level,mana_per_level,weapon,kind,to_hit,dmg_min,dmg_max,dmg_mean,armor,dodge_bonus,dodge_dc_offered,block,block_chance,note
brute,Brute (pickaxe),Fighter,5,19,10,16,8,10,10,205,88,9,0,pickaxe,melee,11,5,8,6.5,4,1,14,0,0,dumps WIL; never upgrades the tool — the trap build
brute,Brute (pickaxe),Fighter,10,20,10,16,8,10,10,252,88,9,0,pickaxe,melee,18,6,9,7.5,4,1,18,0,0,dumps WIL; never upgrades the tool — the trap build
brute,Brute (pickaxe),Fighter,20,23,10,16,8,10,10,348,88,9,0,pickaxe,melee,31,7,10,8.5,4,1,26,0,0,dumps WIL; never upgrades the tool — the trap build
archer_bow,Archer (bow),Vagabond,1,12,19,12,10,10,10,131,100,5,0,bow,ranged,4,5,10,7.5,0,0,14,0,0,the literal starter kit; upgrades to longbow + chain
archer_bow,Archer (bow),Vagabond,5,12,20,12,10,10,10,151,100,5,0,bow,ranged,8,8,13,10.5,0,0,18,0,0,the literal starter kit; upgrades to longbow + chain
archer_bow,Archer (bow),Vagabond,10,12,20,12,10,10,10,176,100,5,0,bow,ranged,12,12,19,15.5,7,1,23,0,0,the literal starter kit; upgrades to longbow + chain
archer_bow,Archer (bow),Vagabond,20,12,23,12,10,10,10,226,100,5,0,bow,ranged,21,18,25,21.5,7,1,32,0,0,the literal starter kit; upgrades to longbow + chain
archer_xbow,Archer (crossbow),Vagabond,1,12,18,12,10,10,10,131,100,5,0,crossbow,ranged,4,7,13,10.0,4,1,15,0,0,"same build, crossbow scales dmg with AGI"
archer_xbow,Archer (crossbow),Vagabond,5,12,19,12,10,10,10,151,100,5,0,crossbow,ranged,7,9,15,12.0,4,1,18,0,0,"same build, crossbow scales dmg with AGI"
archer_xbow,Archer (crossbow),Vagabond,10,12,20,12,10,10,10,176,100,5,0,crossbow,ranged,12,13,19,16.0,7,1,23,0,0,"same build, crossbow scales dmg with AGI"
archer_xbow,Archer (crossbow),Vagabond,20,12,23,12,10,10,10,226,100,5,0,crossbow,ranged,21,19,25,22.0,7,1,32,0,0,"same build, crossbow scales dmg with AGI"
wizard,Glass Wizard,Wizard,1,10,10,8,16,10,18,103,160,2,14,bronze_sword,melee,0,1,8,4.5,0,0,10,0,0,fragile caster; melee shown is the fallback only
wizard,Glass Wizard,Wizard,5,10,10,8,16,10,19,111,219,2,14,bronze_sword,melee,2,3,10,6.5,0,0,13,0,0,fragile caster; melee shown is the fallback only
wizard,Glass Wizard,Wizard,10,10,10,8,16,10,20,121,301,2,15,bronze_sword,melee,5,6,13,9.5,0,0,17,0,0,fragile caster; melee shown is the fallback only
wizard,Glass Wizard,Wizard,20,10,10,8,16,10,23,141,479,2,16,bronze_sword,melee,10,11,18,14.5,0,0,25,0,0,fragile caster; melee shown is the fallback only
cleric,Balanced Cleric,Cleric,1,12,10,14,16,10,10,143,136,7,11,bronze_sword,melee,1,2,9,5.5,4,1,11,0,0,mid martial + heals
cleric,Balanced Cleric,Cleric,5,12,10,14,17,10,10,171,186,7,11,bronze_sword,melee,4,4,11,7.5,4,1,14,0,0,mid martial + heals
cleric,Balanced Cleric,Cleric,10,12,10,14,18,10,10,206,256,7,12,bronze_sword,melee,8,8,17,12.5,7,1,18,3,25,mid martial + heals
cleric,Balanced Cleric,Cleric,20,12,10,14,21,10,10,276,413,7,13,bronze_sword,melee,16,13,22,17.5,7,1,26,3,25,mid martial + heals
skirmisher,Vagabond Skirmisher,Vagabond,1,12,16,12,10,10,12,131,106,5,0,dagger,melee,1,2,5,3.5,4,1,14,0,0,dagger rogue: crit 19-20; backstab openers not modelled
skirmisher,Vagabond Skirmisher,Vagabond,5,12,17,12,10,10,12,151,106,5,0,dagger,melee,4,4,7,5.5,4,1,17,0,0,dagger rogue: crit 19-20; backstab openers not modelled
skirmisher,Vagabond Skirmisher,Vagabond,10,12,18,12,10,10,12,176,106,5,0,dagger,melee,8,7,10,8.5,7,1,22,0,0,dagger rogue: crit 19-20; backstab openers not modelled
skirmisher,Vagabond Skirmisher,Vagabond,20,12,21,12,10,10,12,226,106,5,0,dagger,melee,16,12,15,13.5,7,1,31,0,0,dagger rogue: crit 19-20; backstab openers not modelled
